Label,lumMean,lumSD,area,lwMean,lwSD,mwMean,mwSD,swMean,swSD
aggeneys_olivacea_CDE/CDE_b01_a1,0.141040768,0.097937710,56865,0.141040768,0.097937710,0.115646249,0.090871309,0.069091463,0.066933605
aggeneys_olivacea_CDE/CDE_b01_a2,0.130354661,0.070308302,39876,0.130354661,0.070308302,0.105417103,0.060084331,0.061949705,0.036646781
aggeneys_olivacea_CDE/CDE_b01_a3,0.140697582,0.084464060,46425,0.140697582,0.084464060,0.114344667,0.073044143,0.064979941,0.040231809
aggeneys_olivacea_CDE/CDE_b01_b1,0.215295800,0.087645487,195770,0.215295800,0.087645487,0.199242382,0.084205054,0.157456595,0.065795707
aggeneys_olivacea_CDE/CDE_b01_b2,0.269547055,0.090742496,57142,0.269547055,0.090742496,0.230234438,0.087580179,0.161486469,0.067375822
aggeneys_olivacea_CDE/CDE_b01_b3,0.131631388,0.076066069,92754,0.131631388,0.076066069,0.114924147,0.071043460,0.088878684,0.052670786
aggeneys_olivacea_CDE/CDE_b01_c1,0.116296058,0.070260681,42798,0.116296058,0.070260681,0.081124502,0.067637348,0.037826208,0.047562013
aggeneys_olivacea_CDE/CDE_b01_c2,0.121581659,0.054215022,7705,0.121581659,0.054215022,0.085665641,0.051045378,0.041044928,0.032814630
aggeneys_olivacea_CDE/CDE_b01_c3,0.131188790,0.083772510,9333,0.131188790,0.083772510,0.093542306,0.078793446,0.051350821,0.056292050
aggeneys_olivacea_CDE/CDE_b02_a1,0.117841552,0.062032679,52314,0.117841552,0.062032679,0.102313740,0.054731673,0.069658977,0.036557714
aggeneys_olivacea_CDE/CDE_b02_a2,0.109728460,0.052404080,28675,0.109728460,0.052404080,0.095917413,0.048709680,0.067476748,0.038292868
aggeneys_olivacea_CDE/CDE_b02_a3,0.160996723,0.100437930,39127,0.160996723,0.100437930,0.143959043,0.089204363,0.099635894,0.055292773
aggeneys_olivacea_CDE/CDE_b02_b1,0.241697153,0.067211594,133233,0.241697153,0.067211594,0.200502258,0.061974951,0.127972094,0.046461640
aggeneys_olivacea_CDE/CDE_b02_b2,0.124888036,0.049787047,34329,0.124888036,0.049787047,0.114105852,0.046999713,0.095065858,0.037832993
aggeneys_olivacea_CDE/CDE_b02_b3,0.249501494,0.117545560,184555,0.249501494,0.117545560,0.222468687,0.112346479,0.180385442,0.089014353
aggeneys_olivacea_CDE/CDE_b02_b4,0.323290108,0.115724011,145700,0.323290108,0.115724011,0.289163470,0.113439980,0.213122007,0.098423390
aggeneys_olivacea_CDE/CDE_b02_b5,0.260118376,0.100121473,35265,0.260118376,0.100121473,0.214046036,0.095779012,0.129473282,0.068577863
aggeneys_olivacea_CDE/CDE_b02_b6,0.132824828,0.037384049,20960,0.132824828,0.037384049,0.111381864,0.036285124,0.073985550,0.030703141
aggeneys_olivacea_CDE/CDE_b02_c1,0.085179666,0.053918224,36585,0.085179666,0.053918224,0.056987643,0.049052548,0.028598487,0.034432581
aggeneys_olivacea_CDE/CDE_b02_c2,0.111685801,0.038510879,25421,0.111685801,0.038510879,0.081549214,0.036341702,0.040954061,0.025823864
aggeneys_olivacea_CDE/CDE_b03_a1,0.173064214,0.081225863,61125,0.173064214,0.081225863,0.147890715,0.071964889,0.100312701,0.046891967
aggeneys_olivacea_CDE/CDE_b03_a2,0.181805816,0.081021348,53035,0.181805816,0.081021348,0.154361614,0.072116114,0.100080583,0.048596851
aggeneys_olivacea_CDE/CDE_b03_a3,0.179779066,0.069005003,26127,0.179779066,0.069005003,0.146228101,0.062035357,0.092819590,0.042193279
aggeneys_olivacea_CDE/CDE_b03_b1,0.357003795,0.082315689,19717,0.357003795,0.082315689,0.304300322,0.079378538,0.189873737,0.060794000
