Label,lumMean,lumSD,area,lwMean,lwSD,mwMean,mwSD,swMean,swSD,vsMean,vsSD,dblMean,dblSD
aggeneys_olivacea_CDE/CDE_b01_a1,0.186314164,0.116067128,56865,0.186314164,0.116067128,0.117822429,0.092454412,0.074513952,0.078876424,0.061845516,0.062449623,0.130779694,0.095980967
aggeneys_olivacea_CDE/CDE_b01_a2,0.174233667,0.094588841,39876,0.174233667,0.094588841,0.107440938,0.061033282,0.066017215,0.045492685,0.055642703,0.032491010,0.119977153,0.066941492
aggeneys_olivacea_CDE/CDE_b01_a3,0.187590474,0.110051471,46425,0.187590474,0.110051471,0.116829128,0.074962488,0.071148242,0.052825734,0.057152468,0.034191317,0.130083797,0.080925160
aggeneys_olivacea_CDE/CDE_b01_b1,0.242909054,0.096968963,195770,0.242909054,0.096968963,0.201961749,0.085853217,0.171009475,0.076646502,0.147789024,0.061104462,0.208976842,0.087037226
aggeneys_olivacea_CDE/CDE_b01_b2,0.346476590,0.099723023,57142,0.346476590,0.099723023,0.226980888,0.089888597,0.175997714,0.079042247,0.151261400,0.062526202,0.254551847,0.090301508
aggeneys_olivacea_CDE/CDE_b01_b3,0.160334207,0.087694416,92754,0.160334207,0.087694416,0.115957012,0.071987035,0.090598758,0.062020463,0.083301658,0.047941629,0.124281325,0.074790723
aggeneys_olivacea_CDE/CDE_b01_c1,0.183507016,0.080970574,42798,0.183507016,0.080970574,0.078040878,0.071216502,0.035037267,0.058558141,0.030964547,0.042258052,0.101935562,0.070081065
aggeneys_olivacea_CDE/CDE_b01_c2,0.190338806,0.065174198,7705,0.190338806,0.065174198,0.082413564,0.055133160,0.038754771,0.040930654,0.034839938,0.029461207,0.106931899,0.053901152
aggeneys_olivacea_CDE/CDE_b01_c3,0.203353669,0.097438994,9333,0.203353669,0.097438994,0.088547883,0.082762289,0.048323079,0.066754238,0.042232501,0.049441070,0.115438489,0.083043625
aggeneys_olivacea_CDE/CDE_b02_a1,0.142297327,0.078857652,52314,0.142297327,0.078857652,0.106340087,0.055258082,0.074226284,0.044228013,0.059202395,0.032315676,0.111064434,0.059633457
aggeneys_olivacea_CDE/CDE_b02_a2,0.130756859,0.062917490,28675,0.130756859,0.062917490,0.099925729,0.049520980,0.070730370,0.044094361,0.058282941,0.035928498,0.103517628,0.051328290
aggeneys_olivacea_CDE/CDE_b02_a3,0.187546237,0.123733400,39127,0.187546237,0.123733400,0.149019586,0.090588331,0.111130118,0.069385722,0.088271267,0.047187419,0.153777865,0.096933917
aggeneys_olivacea_CDE/CDE_b02_b1,0.320941501,0.082619390,133233,0.320941501,0.082619390,0.198359172,0.063057422,0.141839124,0.054445477,0.115226355,0.043216383,0.225791962,0.065578210
aggeneys_olivacea_CDE/CDE_b02_b2,0.141896098,0.056427466,34329,0.141896098,0.056427466,0.116387505,0.046892064,0.096426331,0.043117257,0.089689970,0.036312933,0.120004139,0.049007822
aggeneys_olivacea_CDE/CDE_b02_b3,0.302139187,0.129761495,184555,0.302139187,0.129761495,0.219015972,0.113791746,0.189522457,0.101621525,0.172576371,0.085792514,0.238658041,0.116470228
aggeneys_olivacea_CDE/CDE_b02_b4,0.388830143,0.122288649,145700,0.388830143,0.122288649,0.288894775,0.114059305,0.236180468,0.109268616,0.202362630,0.093951181,0.310774285,0.115481753
aggeneys_olivacea_CDE/CDE_b02_b5,0.349679919,0.113185013,35265,0.349679919,0.113185013,0.212009511,0.098994997,0.146056257,0.083699342,0.115917435,0.063557310,0.242850042,0.099264290
aggeneys_olivacea_CDE/CDE_b02_b6,0.170981747,0.044103097,20960,0.170981747,0.044103097,0.113038484,0.038211291,0.077734807,0.034795147,0.064969140,0.028216365,0.124022560,0.037290631
aggeneys_olivacea_CDE/CDE_b02_c1,0.137375425,0.067613370,36585,0.137375425,0.067613370,0.054582548,0.050170229,0.022129073,0.041424445,0.019714400,0.031269503,0.072946270,0.052433778
aggeneys_olivacea_CDE/CDE_b02_c2,0.167526323,0.046251408,25421,0.167526323,0.046251408,0.080589568,0.039066266,0.039965884,0.030550298,0.031575924,0.022984463,0.099157534,0.038207343
aggeneys_olivacea_CDE/CDE_b03_a1,0.218559451,0.102964348,61125,0.218559451,0.102964348,0.149167247,0.072515333,0.108885546,0.057685791,0.089627882,0.040707194,0.162920271,0.078126592
