,Label,lumMean,lumSD,area,lwMean,lwSD,swMean,swSD
19003,aggeneys_olivacea_CDE/CDE_b01_a1,0.118531594,0.088473988,56865,0.118531594,0.088473988,0.061157983,0.061076233
19004,aggeneys_olivacea_CDE/CDE_b01_a2,0.108946353,0.059268701,39876,0.108946353,0.059268701,0.055465546,0.031526599
19005,aggeneys_olivacea_CDE/CDE_b01_a3,0.117140144,0.071436734,46425,0.117140144,0.071436734,0.056432061,0.032694339
19006,aggeneys_olivacea_CDE/CDE_b01_b1,0.197984363,0.08136774,195770,0.197984363,0.08136774,0.146015363,0.059830407
19007,aggeneys_olivacea_CDE/CDE_b01_b2,0.236074186,0.084430638,57142,0.236074186,0.084430638,0.149180651,0.061131385
19008,aggeneys_olivacea_CDE/CDE_b01_b3,0.117325425,0.069153899,92754,0.117325425,0.069153899,0.083065395,0.04682355
19009,aggeneys_olivacea_CDE/CDE_b01_c1,0.08896609,0.064034437,42798,0.08896609,0.064034437,0.030580637,0.040893059
19010,aggeneys_olivacea_CDE/CDE_b01_c2,0.093901336,0.048204974,7705,0.093901336,0.048204974,0.034544447,0.028574742
19011,aggeneys_olivacea_CDE/CDE_b01_c3,0.102508934,0.075375125,9333,0.102508934,0.075375125,0.042130422,0.048159558
19012,aggeneys_olivacea_CDE/CDE_b02_a1,0.101802396,0.053738394,52314,0.101802396,0.053738394,0.058497652,0.031494336
19013,aggeneys_olivacea_CDE/CDE_b02_a2,0.095547482,0.047372535,28675,0.095547482,0.047372535,0.057808169,0.035393484
19014,aggeneys_olivacea_CDE/CDE_b02_a3,0.142469142,0.086924032,39127,0.142469142,0.086924032,0.08722897,0.045586075
19015,aggeneys_olivacea_CDE/CDE_b02_b1,0.205917122,0.060650281,133233,0.205917122,0.060650281,0.113249362,0.042350901
19016,aggeneys_olivacea_CDE/CDE_b02_b2,0.114605439,0.046400052,34329,0.114605439,0.046400052,0.089226897,0.035787244
19017,aggeneys_olivacea_CDE/CDE_b02_b3,0.227253891,0.110047393,184555,0.227253891,0.110047393,0.171357122,0.084610464
19018,aggeneys_olivacea_CDE/CDE_b02_b4,0.291560166,0.110846379,145700,0.291560166,0.110846379,0.19965766,0.092749471
19019,aggeneys_olivacea_CDE/CDE_b02_b5,0.219390159,0.092072845,35265,0.219390159,0.092072845,0.113024012,0.061877261
19020,aggeneys_olivacea_CDE/CDE_b02_b6,0.113173849,0.0342403,20960,0.113173849,0.0342403,0.064028781,0.027820445
