pop_spp,abbrevs,taxon,species,allan_geol,geol_abbrevs
aggeneys_olivacea_CDE,Ag_Oli_CDE,olivacea,olivacea,paleMet,PMET
alexanderbay_herrei_RS,Ab_Her_RS,herrei,herrei,quartz,QTZ
Attie1_localis_BA,At_Loc_BA,localis,localis,sedimentary,SED
Baviaanskrans_Salicola_ON,Bv_Sal_ON,salicola,salicola,calcrete,CAL
bitterfontein_divergens_HIJ,Bf_Div_HIJ,divergens,divergensSpp,quartz,QTZ
blesberg_marmorata_NO,Bb_Mar_NO,marmorata,marmorataSpp,quartz,QTZ
Blesbergmine_marmorata_EFG,Bbm_Mar_EFG,marmorata,marmorataSpp,quartz,QTZ
Blesbergmine1_Marmorata.Elisiae_DEF,Bbm1_Mar_DEF,marmorata.elisiae,marmorataSpp,calcrete,CAL
boegoesberg_hallii.ochraceae_SR,bg_Hal.O_SR,hallii.ochraceae,halliiSpp,quartz,QTZ
Boshoff_Lesleii.Venterii_ML,Bh_Les.V_ML,leslei.venteri,lesleiSpp,calcrete,CAL
brakfontein_otzeniana_UV,Br_Ozt_UV,otzeniana,otzeniana,darkIgnMet,DIGMET
Copperton_hallii_DE,Cop_Hal_DE,hallii,halliiSpp,calcrete,CAL
Droedam_Comptonii.Webrii_FE,Dd_Com.W_FE,comptonii.webrii,comptoniiSpp,calcrete,CAL
geselskap_fulleri_MN,Gs_Ful_MN,fulleri,fulleri,quartz,QTZ
Haasriver1_otzeniana_IJK,Hr1_Ozt_IJK,otzeniana,otzeniana,sedimentary,SED
Haasriver2_otzeniana_JKL,Hr2_Ozt_JKL,otzeniana,otzeniana,darkIgnMet,DIGMET
Hopetown_aucampiae_XXAH,Ht_Auc_XXAH,aucampiae,aucampiae,mixed,MIX
kangnas1_marmorata_LM,Kn1_Mar_LM02,marmorata,marmorataSpp,paleMet,PMET
kangnas2_marmorata_OP,Kn2_Mar_OP,marmorata,marmorataSpp,quartz,QTZ
keimoes1_bromfeldii.insularis_XV,Km1_Brm.I_XV,bromfeldii.insularis,bromfieldiiSpp,paleMet,PMET
kenhardt_fulleri_FG,Ke_Ful_FG,fulleri,fulleri,quartz,QTZ
kotzerus_divergens.amethystina_GHI,Kz_Div.A_GHI,divergens.amethystina,divergensSpp,mixed,MIX
lekkersing1_meyeri_PQ,Ls1_Mey_PQ,meyeri,meyeri,quartz,QTZ
lekkersing2_meyeri_QR,Ls2_Mey_QR,meyeri,meyeri,quartz,QTZ
Liebeberg_hookeri_XXHL,Lb_Hkr_XXHL,hookeri,hookeriSpp,sedimentary,SED
marydale1_hookeri.hookeri_RQ,Md_Hkr.H_RQ,hookeri.hookeri,hookeriSpp,paleMet,PMET
MatjiesRd1_comptonii_DC,Mj1_Com_DC,comptonii,comptoniiSpp,sedimentary,SED
MatjiesRd2_Comptonii_ED,Mj2_Com_ED,comptonii,comptoniiSpp,mixed,MIX
namies_fulleri_JK,Nm_Ful_JK,fulleri,fulleri,quartz,QTZ
namies_olivacea_XXON,Nm_Oli_XXON,olivacea,olivacea,paleMet,PMET
Omdraaisvlei_hookeri_CD,Om_Hk_CD,hookeri,hookeriSpp,darkIgnMet,DIGMET
Pella_Federici_BCD,Pe_Fed_BCD,federici,dinteriSpp,paleMet,PMET
Platfontein_leslei.leslei_KJ,Pt_Les.L_KJ,leslei.leslei,leslieiSpp,mixed,MIX
