collapseSpp,abbrevs,pop_spp,taxon,species,allan_geol,geol_abbrevs,collapseSppShrt
bromf.,Up_Brm_VU,Upington_bromfeldii_VU,bromfeldii,bromfieldiiSpp,calcrete,CAL,L. bromf.
bromf.,Rw_Brm.M_UT,raaswater_bromfeldii.menelli_UT,bromfeldii.menelli,bromfieldiiSpp,paleMet,PMET,L. bromf.
bromf.,Km1_Brm.I_XV,keimoes1_bromfeldii.insularis_XV,bromfeldii.insularis,bromfieldiiSpp,paleMet,PMET,L. bromf.
compt.,Dd_Com.W_FE,Droedam_Comptonii.Webrii_FE,comptonii.webrii,comptoniiSpp,calcrete,CAL,L. compt.
compt.,Mj2_Com_ED,MatjiesRd2_Comptonii_ED,comptonii,comptoniiSpp,mixed,MIX,L. compt.
compt.,Mj1_Com_DC,MatjiesRd1_comptonii_DC,comptonii,comptoniiSpp,sedimentary,SED,L. compt.
dint.,Pe_Fed_BCD,Pella_Federici_BCD,federici,dinteriSpp,paleMet,PMET,L. din.
dint.,Vd_Dnt.B_FGH,vioolsdrif_dinteri.brevis_FGH,dinteri.brevis,dinteriSpp,quartz,QTZ,L. din.
divergensSpp,Bf_Div_HIJ,bitterfontein_divergens_HIJ,divergens,divergensSpp,quartz,QTZ,L. div.
divergensSpp,Kz_Div.A_GHI,kotzerus_divergens.amethystina_GHI,divergens.amethystina,divergensSpp,mixed,MIX,L. div.
divergensSpp,Stryk_Div_VX,strykloof_divergens_VX,divergens,divergensSpp,quartz,QTZ,L. div.
divergensSpp,Skk_Div_XY,SteenkampskraalRd_divergens_XY,divergens,divergensSpp,quartz,QTZ,L. div.
fulleri,Uk_Ful_TU,uitkyk_fulleri_TU,fulleri,fulleri,calcrete,CAL,L. full.
fulleri,Gs_Ful_MN,geselskap_fulleri_MN,fulleri,fulleri,quartz,QTZ,L. full.
fulleri,Up_Ful_TS,Upington_fulleri_TS,fulleri,fulleri,paleMet,PMET,L. full.
fulleri,Pf_Ful_GH,pofadder_fulleri_GH,fulleri,fulleri,calcrete,CAL,L. full.
fulleri,Ke_Ful_FG,kenhardt_fulleri_FG,fulleri,fulleri,quartz,QTZ,L. full.
fulleri,Nm_Ful_JK,namies_fulleri_JK,fulleri,fulleri,quartz,QTZ,L. full.
fulleri,Sb_Ful_EF01,SidiBarani_fulleri_EF,fulleri,fulleri,quartz,QTZ,L. full.
fulleri,Pf.C_Ful_ABC,Pofadder.Centre_Fulleri_ABC,fulleri,fulleri,calcrete,CAL,L. full.
halliiSpp,Cop_Hal_DE,Copperton_hallii_DE,hallii,halliiSpp,calcrete,CAL,L. hallii
halliiSpp,Vr_Hal_IH,Vrede_Hallii_IH,hallii,halliiSpp,mixed,MIX,L. hallii
halliiSpp,bg_Hal.O_SR,boegoesberg_hallii.ochraceae_SR,hallii.ochraceae,halliiSpp,quartz,QTZ,L. hallii
hookeriSpp,Stryd_Hkr.H_QP,Strydenburg_hookeri.hookeri_QP,hookeri.hookeri,hookeriSpp,darkIgnMet,DIGMET,L. hook.
hookeriSpp,Lb_Hkr_XXHL,Liebeberg_hookeri_XXHL,hookeri,hookeriSpp,sedimentary,SED,L. hook.
